time,accAccuracy,accX,accY,accZ,lightAccuracy,light,magAccuracy,magX,magY,magZ,proxAccuracy,prox,gyrAccuracy,gyrX,gyrY,gyrZ,batteryPercent,isCharging,isUsbCharge,isAcCharge
1398702517945,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,
1398702518227,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702548119,3,-0.027240695,0.013620348,9.861132,,,,,,,,,,,,,,,,
1398702548231,,,,,0,100.0,,,,,,,,,,,,,,
1398702548120,,,,,,,3,-3.54,5.46,-68.04,,,,,,,,,,
1398702547977,,,,,,,,,,,0,5.0,0,0.0,0.0,0.0,,,,
1398702548231,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702578114,3,0.013620348,0.05448139,9.861132,,,,,,,,,,,,,,,,
1398702578226,,,,,0,100.0,,,,,,,,,,,,,,
1398702578115,,,,,,,3,-3.6,5.4,-67.979996,,,,,,,,,,
1398702577944,,,,,,,,,,,0,5.0,0,0.0,0.0,0.0,,,,
1398702578227,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702608517,3,-0.013620348,0.05448139,9.861132,,,,,,,,,,,,,,,,
1398702608628,,,,,0,100.0,,,,,,,,,,,,,,
1398702608517,,,,,,,3,-3.48,5.4,-67.979996,,,,,,,,,,
1398702607946,,,,,,,,,,,0,5.0,,,,,,,,
1398702608551,,,,,,,,,,,,,0,-6.1086525E-4,0.006414085,0.0070249503,,,,
1398702608628,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702638516,3,-0.013620348,0.040861044,9.833891,,,,,,,,,,,,,,,,
1398702638628,,,,,0,100.0,,,,,,,,,,,,,,
1398702638516,,,,,,,3,-3.6,5.3399997,-67.68,,,,,,,,,,
1398702637975,,,,,,,,,,,0,5.0,,,,,,,,
1398702638578,,,,,,,,,,,,,0,9.162979E-4,0.009162978,3.0543262E-4,,,,
1398702638628,,,,,,,,,,,,,,,,,1.0,1,1,0
1398702669115,3,0.027240695,0.040861044,9.833891,,,,,,,,,,,,,,,,
1398702669226,,,,,0,100.0,,,,,,,,,,,,,,
